"Model","Solver","Nodes","Elements","Total Time","Assembly","Solve","Iterations","Peak RAM","Peak VRAM","Status","Date"
"S-Bend","GPU","387","222","69ms","<0.01s","49ms","157","0 MB","-","✓","Jan 15, 04:33 PM"
"S-Bend","GPU","387","222","76ms","<0.01s","48ms","157","0 MB","-","✓","Jan 15, 04:33 PM"
"S-Bend","GPU","387","222","71ms","<0.01s","49ms","157","0 MB","-","✓","Jan 15, 04:33 PM"
"Venturi","GPU","1 284 412","427 017","13.93s","21ms","12.49s","10 147","33 MB","2.74 GB","✓","Jan 15, 04:33 PM"
"Venturi","GPU","1 284 412","427 017","13.89s","21ms","12.45s","10 146","33 MB","2.74 GB","✓","Jan 15, 04:33 PM"
"Venturi","GPU","1 284 412","427 017","13.91s","21ms","12.47s","10 144","33 MB","2.74 GB","✓","Jan 15, 04:33 PM"
"Venturi","GPU","763 707","253 704","6.85s","12ms","5.90s","7778","19 MB","1.63 GB","✓","Jan 15, 04:32 PM"
"Venturi","GPU","763 707","253 704","6.84s","13ms","5.87s","7777","19 MB","1.63 GB","✓","Jan 15, 04:32 PM"
"Venturi","GPU","763 707","253 704","6.86s","12ms","5.89s","7781","19 MB","1.63 GB","✓","Jan 15, 04:32 PM"
"Venturi","GPU","194 325","64 334","1.81s","<0.01s","1.45s","4034","5 MB","291 MB","✓","Jan 15, 04:32 PM"
"Venturi","GPU","194 325","64 334","1.82s","<0.01s","1.46s","4040","5 MB","400 MB","✓","Jan 15, 04:32 PM"
"Venturi","GPU","194 325","64 334","1.81s","<0.01s","1.44s","4037","5 MB","291 MB","✓","Jan 15, 04:32 PM"
"Venturi","GPU","341","86","71ms","<0.01s","41ms","132","0 MB","-","✓","Jan 15, 04:32 PM"
"Venturi","GPU","341","86","64ms","<0.01s","40ms","132","0 MB","-","✓","Jan 15, 04:32 PM"
"Venturi","GPU","341","86","68ms","<0.01s","41ms","132","0 MB","-","✓","Jan 15, 04:32 PM"
"Y-Shaped","GPU","1 357 953","338 544","13.61s","17ms","12.20s","9871","31 MB","2.22 GB","✓","Jan 15, 04:32 PM"
"Y-Shaped","GPU","1 357 953","338 544","13.56s","17ms","12.14s","9871","31 MB","2.61 GB","✓","Jan 15, 04:32 PM"
"Y-Shaped","GPU","1 357 953","338 544","13.58s","17ms","12.17s","9871","31 MB","2.22 GB","✓","Jan 15, 04:32 PM"
"Y-Shaped","GPU","772 069","192 308","6.32s","<0.01s","5.40s","7508","18 MB","785 MB","✓","Jan 15, 04:31 PM"
"Y-Shaped","GPU","772 069","192 308","6.32s","<0.01s","5.41s","7508","18 MB","1.35 GB","✓","Jan 15, 04:31 PM"
"Y-Shaped","GPU","772 069","192 308","6.33s","<0.01s","5.41s","7508","18 MB","1.35 GB","✓","Jan 15, 04:31 PM"
"Y-Shaped","GPU","195 853","48 607","1.63s","<0.01s","1.28s","3741","5 MB","228 MB","✓","Jan 15, 04:30 PM"
"Y-Shaped","GPU","195 853","48 607","1.62s","<0.01s","1.28s","3741","5 MB","348 MB","✓","Jan 15, 04:30 PM"
"Y-Shaped","GPU","195 853","48 607","1.63s","<0.01s","1.29s","3741","4 MB","348 MB","✓","Jan 15, 04:30 PM"
"Y-Shaped","GPU","201","52","61ms","<0.01s","34ms","116","0 MB","-","✓","Jan 15, 04:30 PM"
"Y-Shaped","GPU","201","52","55ms","<0.01s","35ms","116","0 MB","-","✓","Jan 15, 04:30 PM"
"Y-Shaped","GPU","201","52","55ms","<0.01s","35ms","116","0 MB","-","✓","Jan 15, 04:30 PM"
"Elbow 90°","Numba CUDA","1 044 857","346 621","16.21s","4.34s","8.59s","8368","1.30 GB","517 MB","✓","Jan 15, 04:30 PM"
"Elbow 90°","Numba CUDA","1 044 857","346 621","16.10s","4.31s","8.61s","8368","1.42 GB","517 MB","✓","Jan 15, 04:30 PM"
"Elbow 90°","Numba CUDA","1 044 857","346 621","16.18s","4.30s","8.56s","8368","1.42 GB","517 MB","✓","Jan 15, 04:30 PM"
"Elbow 90°","Numba CUDA","623 153","206 435","8.61s","2.56s","4.08s","6330","613 MB","308 MB","✓","Jan 15, 04:29 PM"
"Elbow 90°","Numba CUDA","623 153","206 435","8.92s","2.65s","4.14s","6330","499 MB","303 MB","✓","Jan 15, 04:29 PM"
"Elbow 90°","Numba CUDA","623 153","206 435","8.60s","2.56s","4.11s","6330","617 MB","308 MB","✓","Jan 15, 04:29 PM"
"Elbow 90°","Numba CUDA","161 984","53 344","2.26s","661ms","1.10s","3200","66 MB","80 MB","✓","Jan 15, 04:28 PM"
"Elbow 90°","Numba CUDA","161 984","53 344","2.33s","658ms","1.08s","3200","93 MB","80 MB","✓","Jan 15, 04:28 PM"
"Elbow 90°","Numba CUDA","161 984","53 344","2.31s","658ms","1.08s","3200","66 MB","77 MB","✓","Jan 15, 04:28 PM"
"Elbow 90°","Numba CUDA","411","111","50ms","<0.01s","44ms","142","0 MB","-","✓","Jan 15, 04:28 PM"
"Elbow 90°","Numba CUDA","411","111","50ms","<0.01s","44ms","142","0 MB","-","✓","Jan 15, 04:28 PM"
"Elbow 90°","Numba CUDA","411","111","51ms","<0.01s","45ms","142","0 MB","-","✓","Jan 15, 04:28 PM"
"Backward-Facing Step","Numba CUDA","1 283 215","426 686","22.96s","5.50s","13.45s","10 882","1.81 GB","636 MB","✓","Jan 15, 04:28 PM"
"Backward-Facing Step","Numba CUDA","1 283 215","426 686","22.70s","5.47s","13.36s","10 882","1.81 GB","636 MB","✓","Jan 15, 04:28 PM"
"Backward-Facing Step","Numba CUDA","1 283 215","426 686","22.99s","5.52s","13.58s","10 882","1.81 GB","636 MB","✓","Jan 15, 04:28 PM"
"Backward-Facing Step","Numba CUDA","766 088","254 551","12.61s","3.19s","6.70s","8541","945 MB","379 MB","✓","Jan 15, 04:27 PM"
"Backward-Facing Step","Numba CUDA","766 088","254 551","12.42s","3.16s","6.64s","8541","947 MB","379 MB","✓","Jan 15, 04:27 PM"
"Backward-Facing Step","Numba CUDA","766 088","254 551","12.50s","3.17s","6.55s","8541","949 MB","379 MB","✓","Jan 15, 04:27 PM"
"Backward-Facing Step","Numba CUDA","195 362","64 713","2.91s","801ms","1.42s","3993","78 MB","97 MB","✓","Jan 15, 04:26 PM"
"Backward-Facing Step","Numba CUDA","195 362","64 713","2.87s","800ms","1.41s","3993","78 MB","97 MB","✓","Jan 15, 04:26 PM"
"Backward-Facing Step","Numba CUDA","195 362","64 713","2.77s","806ms","1.42s","3993","77 MB","97 MB","✓","Jan 15, 04:26 PM"
"Backward-Facing Step","Numba CUDA","287","82","47ms","<0.01s","42ms","137","0 MB","-","✓","Jan 15, 04:26 PM"
"Backward-Facing Step","Numba CUDA","287","82","48ms","<0.01s","43ms","137","0 MB","-","✓","Jan 15, 04:26 PM"
"Backward-Facing Step","Numba CUDA","287","82","52ms","<0.01s","47ms","137","0 MB","-","✓","Jan 15, 04:26 PM"
"T-Junction","Numba CUDA","1 291 289","429 176","24.17s","5.37s","14.55s","11 758","1.84 GB","639 MB","✓","Jan 15, 04:26 PM"
"T-Junction","Numba CUDA","1 291 289","429 176","23.84s","5.34s","14.57s","11 758","1.84 GB","639 MB","✓","Jan 15, 04:26 PM"
"T-Junction","Numba CUDA","1 291 289","429 176","24.07s","5.40s","14.61s","11 758","1.84 GB","639 MB","✓","Jan 15, 04:26 PM"
"T-Junction","Numba CUDA","768 898","255 333","13.11s","3.19s","6.98s","9203","970 MB","381 MB","✓","Jan 15, 04:24 PM"
"T-Junction","Numba CUDA","768 898","255 333","12.92s","3.20s","7.11s","9203","972 MB","381 MB","✓","Jan 15, 04:24 PM"
"T-Junction","Numba CUDA","768 898","255 333","12.87s","3.17s","7.03s","9203","974 MB","381 MB","✓","Jan 15, 04:24 PM"
"T-Junction","Numba CUDA","196 420","64 987","3.09s","812ms","1.56s","4319","78 MB","96 MB","✓","Jan 15, 04:23 PM"
"T-Junction","Numba CUDA","196 420","64 987","3.01s","803ms","1.54s","4319","78 MB","97 MB","✓","Jan 15, 04:23 PM"
"T-Junction","Numba CUDA","196 420","64 987","2.99s","809ms","1.54s","4319","78 MB","97 MB","✓","Jan 15, 04:23 PM"
"T-Junction","Numba CUDA","393","102","58ms","<0.01s","52ms","168","0 MB","-","✓","Jan 15, 04:23 PM"
"T-Junction","Numba CUDA","393","102","58ms","<0.01s","52ms","168","0 MB","-","✓","Jan 15, 04:23 PM"
"T-Junction","Numba CUDA","393","102","59ms","<0.01s","52ms","168","0 MB","-","✓","Jan 15, 04:23 PM"
"S-Bend","Numba CUDA","1 286 039","427 244","26.17s","5.33s","16.45s","13 255","1.85 GB","637 MB","✓","Jan 15, 04:23 PM"
"S-Bend","Numba CUDA","1 286 039","427 244","25.64s","5.33s","16.55s","13 255","1.85 GB","637 MB","✓","Jan 15, 04:23 PM"
"S-Bend","Numba CUDA","1 286 039","427 244","25.88s","5.31s","16.46s","13 255","1.85 GB","637 MB","✓","Jan 15, 04:23 PM"
"S-Bend","Numba CUDA","765 441","254 034","13.36s","3.22s","7.39s","9589","893 MB","379 MB","✓","Jan 15, 04:21 PM"
"S-Bend","Numba CUDA","765 441","254 034","13.06s","3.17s","7.37s","9589","986 MB","379 MB","✓","Jan 15, 04:21 PM"
"S-Bend","Numba CUDA","765 441","254 034","12.86s","3.16s","7.40s","9589","988 MB","379 MB","✓","Jan 15, 04:21 PM"
"S-Bend","Numba CUDA","196 078","64 787","3.12s","804ms","1.67s","4651","78 MB","97 MB","✓","Jan 15, 04:20 PM"
"S-Bend","Numba CUDA","196 078","64 787","3.12s","805ms","1.67s","4651","78 MB","95 MB","✓","Jan 15, 04:20 PM"
"S-Bend","Numba CUDA","196 078","64 787","3.18s","800ms","1.67s","4651","78 MB","95 MB","✓","Jan 15, 04:20 PM"
"S-Bend","Numba CUDA","387","222","56ms","<0.01s","51ms","157","0 MB","-","✓","Jan 15, 04:20 PM"
"S-Bend","Numba CUDA","387","222","60ms","<0.01s","55ms","157","0 MB","-","✓","Jan 15, 04:20 PM"
"S-Bend","Numba CUDA","387","222","56ms","<0.01s","50ms","157","0 MB","-","✓","Jan 15, 04:20 PM"
"Venturi","Numba CUDA","1 284 412","427 017","22.49s","5.31s","12.86s","10 450","1.87 GB","636 MB","✓","Jan 15, 04:20 PM"
"Venturi","Numba CUDA","1 284 412","427 017","22.39s","5.30s","12.86s","10 450","1.87 GB","636 MB","✓","Jan 15, 04:20 PM"
"Venturi","Numba CUDA","1 284 412","427 017","22.51s","5.37s","12.95s","10 450","1.87 GB","636 MB","✓","Jan 15, 04:20 PM"
"Venturi","Numba CUDA","763 707","253 704","11.74s","3.16s","6.17s","7899","999 MB","378 MB","✓","Jan 15, 04:19 PM"
"Venturi","Numba CUDA","763 707","253 704","11.82s","3.20s","6.16s","7899","1001 MB","378 MB","✓","Jan 15, 04:19 PM"
"Venturi","Numba CUDA","763 707","253 704","11.59s","3.15s","6.12s","7899","1003 MB","378 MB","✓","Jan 15, 04:19 PM"
"Venturi","Numba CUDA","194 325","64 334","2.92s","799ms","1.44s","4043","77 MB","96 MB","✓","Jan 15, 04:18 PM"
"Venturi","Numba CUDA","194 325","64 334","2.88s","797ms","1.45s","4043","77 MB","96 MB","✓","Jan 15, 04:18 PM"
"Venturi","Numba CUDA","194 325","64 334","2.89s","798ms","1.45s","4043","77 MB","96 MB","✓","Jan 15, 04:18 PM"
"Venturi","Numba CUDA","341","86","47ms","<0.01s","41ms","132","0 MB","-","✓","Jan 15, 04:18 PM"
"Venturi","Numba CUDA","341","86","47ms","<0.01s","41ms","132","0 MB","-","✓","Jan 15, 04:18 PM"
"Venturi","Numba CUDA","341","86","53ms","<0.01s","46ms","132","0 MB","-","✓","Jan 15, 04:18 PM"
"Y-Shaped","Numba CUDA","1 357 953","338 544","21.57s","4.34s","12.69s","9871","1.53 GB","559 MB","✓","Jan 15, 04:17 PM"
"Y-Shaped","Numba CUDA","1 357 953","338 544","21.78s","4.33s","12.60s","9871","1.41 GB","548 MB","✓","Jan 15, 04:17 PM"
"Y-Shaped","Numba CUDA","1 357 953","338 544","21.67s","4.37s","12.56s","9871","1.41 GB","559 MB","✓","Jan 15, 04:17 PM"
"Y-Shaped","Numba CUDA","772 069","192 308","10.74s","2.47s","5.51s","7508","664 MB","318 MB","✓","Jan 15, 04:16 PM"
"Y-Shaped","Numba CUDA","772 069","192 308","10.72s","2.51s","5.45s","7508","665 MB","318 MB","✓","Jan 15, 04:16 PM"
"Y-Shaped","Numba CUDA","772 069","192 308","10.28s","2.46s","5.44s","7508","597 MB","318 MB","✓","Jan 15, 04:16 PM"
"Y-Shaped","Numba CUDA","195 853","48 607","2.64s","629ms","1.27s","3741","81 MB","80 MB","✓","Jan 15, 04:15 PM"
"Y-Shaped","Numba CUDA","195 853","48 607","2.61s","626ms","1.27s","3741","81 MB","80 MB","✓","Jan 15, 04:15 PM"
"Y-Shaped","Numba CUDA","195 853","48 607","2.56s","625ms","1.27s","3741","59 MB","80 MB","✓","Jan 15, 04:15 PM"
"Y-Shaped","Numba CUDA","201","52","42ms","<0.01s","37ms","115","0 MB","-","✓","Jan 15, 04:15 PM"
"Y-Shaped","Numba CUDA","201","52","42ms","<0.01s","36ms","115","0 MB","-","✓","Jan 15, 04:15 PM"
"Y-Shaped","Numba CUDA","201","52","42ms","<0.01s","36ms","115","0 MB","-","✓","Jan 15, 04:15 PM"
"Elbow 90°","Numba","1 044 857","346 621","16m 38.5s","968ms","16m 34.5s","50 829","1.32 GB","-","✓","Jan 15, 04:15 PM"
"Elbow 90°","Numba","1 044 857","346 621","16m 58.9s","961ms","16m 55.2s","50 829","1.32 GB","-","✓","Jan 15, 04:15 PM"
"Elbow 90°","Numba","1 044 857","346 621","16m 42.6s","965ms","16m 38.6s","50 829","1.32 GB","-","✓","Jan 15, 04:15 PM"
"Elbow 90°","Numba","623 153","206 435","1m 57.4s","587ms","1m 54.8s","11 705","589 MB","-","✓","Jan 15, 03:08 PM"
"Elbow 90°","Numba","623 153","206 435","1m 57.3s","591ms","1m 54.9s","11 705","591 MB","-","✓","Jan 15, 03:08 PM"
"Elbow 90°","Numba","623 153","206 435","1m 58.5s","581ms","1m 55.9s","11 705","593 MB","-","✓","Jan 15, 03:08 PM"
"Elbow 90°","Numba","161 984","53 344","13.74s","187ms","13.06s","4694","99 MB","-","✓","Jan 15, 03:01 PM"
"Elbow 90°","Numba","161 984","53 344","13.83s","184ms","13.10s","4694","99 MB","-","✓","Jan 15, 03:01 PM"
"Elbow 90°","Numba","161 984","53 344","13.80s","185ms","13.09s","4694","99 MB","-","✓","Jan 15, 03:01 PM"
"Elbow 90°","Numba","411","111","<0.01s","<0.01s","<0.01s","142","0 MB","-","✓","Jan 15, 03:00 PM"
"Elbow 90°","Numba","411","111","<0.01s","<0.01s","<0.01s","142","0 MB","-","✓","Jan 15, 03:00 PM"
"Elbow 90°","Numba","411","111","<0.01s","<0.01s","<0.01s","142","0 MB","-","✓","Jan 15, 03:00 PM"
"Backward-Facing Step","Numba","1 283 215","426 686","6m 41.3s","1.19s","6m 36.5s","15 472","1.78 GB","-","✓","Jan 15, 03:00 PM"
"Backward-Facing Step","Numba","1 283 215","426 686","8m 24.2s","1.19s","8m 19.4s","15 472","1.79 GB","-","✓","Jan 15, 03:00 PM"
"Backward-Facing Step","Numba","1 283 215","426 686","7m 14.1s","1.19s","7m 9.4s","15 472","1.79 GB","-","✓","Jan 15, 03:00 PM"
"Backward-Facing Step","Numba","766 088","254 551","4m 59.7s","722ms","4m 56.8s","23 222","974 MB","-","✓","Jan 15, 02:30 PM"
"Backward-Facing Step","Numba","766 088","254 551","4m 57.5s","718ms","4m 54.7s","23 222","977 MB","-","✓","Jan 15, 02:30 PM"
"Backward-Facing Step","Numba","766 088","254 551","4m 55.0s","716ms","4m 52.1s","23 222","980 MB","-","✓","Jan 15, 02:30 PM"
"Backward-Facing Step","Numba","195 362","64 713","14.64s","220ms","13.86s","4213","120 MB","-","✓","Jan 15, 02:10 PM"
"Backward-Facing Step","Numba","195 362","64 713","14.73s","214ms","13.85s","4213","120 MB","-","✓","Jan 15, 02:10 PM"
"Backward-Facing Step","Numba","195 362","64 713","14.66s","219ms","13.83s","4213","120 MB","-","✓","Jan 15, 02:10 PM"
"Backward-Facing Step","Numba","287","82","<0.01s","<0.01s","<0.01s","137","0 MB","-","✓","Jan 15, 02:09 PM"
"Backward-Facing Step","Numba","287","82","<0.01s","<0.01s","<0.01s","137","0 MB","-","✓","Jan 15, 02:09 PM"
"Backward-Facing Step","Numba","287","82","<0.01s","<0.01s","<0.01s","137","0 MB","-","✓","Jan 15, 02:09 PM"
"T-Junction","Numba","1 291 289","429 176","15m 25.6s","1.20s","15m 20.8s","30 441","1.82 GB","-","✓","Jan 15, 02:09 PM"
"T-Junction","Numba","1 291 289","429 176","16m 46.1s","1.21s","16m 41.4s","30 441","1.82 GB","-","✓","Jan 15, 02:09 PM"
"T-Junction","Numba","1 291 289","429 176","14m 43.1s","1.20s","14m 38.6s","30 441","1.82 GB","-","✓","Jan 15, 02:09 PM"
"T-Junction","Numba","768 898","255 333","17m 54.6s","722ms","17m 51.4s","84 469","910 MB","-","✓","Jan 15, 01:05 PM"
"T-Junction","Numba","768 898","255 333","17m 57.8s","729ms","17m 54.8s","84 469","1004 MB","-","✓","Jan 15, 01:05 PM"
"T-Junction","Numba","768 898","255 333","17m 46.1s","731ms","17m 43.0s","84 469","1007 MB","-","✓","Jan 15, 01:05 PM"
"T-Junction","Numba","196 420","64 987","14.97s","222ms","14.18s","4319","121 MB","-","✓","Jan 15, 11:53 AM"
"T-Junction","Numba","196 420","64 987","15.09s","214ms","14.22s","4319","121 MB","-","✓","Jan 15, 11:53 AM"
"T-Junction","Numba","196 420","64 987","15.07s","218ms","14.29s","4319","121 MB","-","✓","Jan 15, 11:53 AM"
"T-Junction","Numba","393","102","<0.01s","<0.01s","<0.01s","168","0 MB","-","✓","Jan 15, 11:52 AM"
"T-Junction","Numba","393","102","<0.01s","<0.01s","<0.01s","168","0 MB","-","✓","Jan 15, 11:52 AM"
"T-Junction","Numba","393","102","<0.01s","<0.01s","<0.01s","168","0 MB","-","✓","Jan 15, 11:52 AM"
"S-Bend","Numba","1 286 039","427 244","116m 56.3s","1.21s","116m 51.5s","283 514","1.83 GB","-","✓","Jan 15, 11:52 AM"
"S-Bend","Numba","1 286 039","427 244","118m 16.7s","1.19s","118m 11.8s","283 514","1.83 GB","-","✓","Jan 15, 11:52 AM"
"S-Bend","Numba","1 286 039","427 244","115m 49.9s","1.19s","115m 45.3s","283 514","1.84 GB","-","✓","Jan 15, 11:52 AM"
"S-Bend","Numba","765 441","254 034","3m 43.6s","735ms","3m 40.4s","18 343","1018 MB","-","✓","Jan 15, 04:05 AM"
"S-Bend","Numba","765 441","254 034","3m 41.8s","724ms","3m 38.7s","18 343","1021 MB","-","✓","Jan 15, 04:05 AM"
"S-Bend","Numba","765 441","254 034","3m 41.6s","719ms","3m 38.6s","18 343","1.00 GB","-","✓","Jan 15, 04:05 AM"
"S-Bend","Numba","196 078","64 787","17.27s","217ms","16.43s","5052","120 MB","-","✓","Jan 15, 03:50 AM"
"S-Bend","Numba","196 078","64 787","17.29s","222ms","16.45s","5052","120 MB","-","✓","Jan 15, 03:50 AM"
"S-Bend","Numba","196 078","64 787","17.26s","216ms","16.44s","5052","120 MB","-","✓","Jan 15, 03:50 AM"
"S-Bend","Numba","387","222","<0.01s","<0.01s","<0.01s","156","0 MB","-","✓","Jan 15, 03:49 AM"
"S-Bend","Numba","387","222","<0.01s","<0.01s","<0.01s","156","0 MB","-","✓","Jan 15, 03:49 AM"
"S-Bend","Numba","387","222","<0.01s","<0.01s","<0.01s","156","0 MB","-","✓","Jan 15, 03:49 AM"
"Venturi","Numba","1 284 412","427 017","11m 9.0s","1.19s","11m 3.8s","28 020","1.85 GB","-","✓","Jan 15, 03:49 AM"
"Venturi","Numba","1 284 412","427 017","11m 21.3s","1.19s","11m 16.4s","28 020","1.85 GB","-","✓","Jan 15, 03:49 AM"
"Venturi","Numba","1 284 412","427 017","11m 23.5s","1.19s","11m 18.5s","28 020","1.85 GB","-","✓","Jan 15, 03:49 AM"
"Venturi","Numba","763 707","253 704","3m 45.1s","723ms","3m 42.0s","18 507","1.01 GB","-","✓","Jan 15, 03:03 AM"
"Venturi","Numba","763 707","253 704","3m 44.7s","723ms","3m 41.6s","18 507","1.02 GB","-","✓","Jan 15, 03:03 AM"
"Venturi","Numba","763 707","253 704","3m 44.5s","712ms","3m 41.4s","18 507","1.02 GB","-","✓","Jan 15, 03:03 AM"
"Venturi","Numba","194 325","64 334","15.00s","210ms","14.17s","4342","119 MB","-","✓","Jan 15, 02:48 AM"
"Venturi","Numba","194 325","64 334","15.02s","214ms","14.20s","4342","119 MB","-","✓","Jan 15, 02:48 AM"
"Venturi","Numba","194 325","64 334","15.01s","211ms","14.19s","4342","119 MB","-","✓","Jan 15, 02:48 AM"
"Venturi","Numba","341","86","<0.01s","<0.01s","<0.01s","132","0 MB","-","✓","Jan 15, 02:47 AM"
"Venturi","Numba","341","86","<0.01s","<0.01s","<0.01s","132","0 MB","-","✓","Jan 15, 02:47 AM"
"Venturi","Numba","341","86","<0.01s","<0.01s","<0.01s","132","0 MB","-","✓","Jan 15, 02:47 AM"
"Y-Shaped","Numba","1 357 953","338 544","4m 0.6s","1.08s","3m 55.2s","9871","1.44 GB","-","✓","Jan 15, 02:47 AM"
"Y-Shaped","Numba","1 357 953","338 544","4m 3.5s","1.07s","3m 58.7s","9871","1.44 GB","-","✓","Jan 15, 02:47 AM"
"Y-Shaped","Numba","1 357 953","338 544","4m 1.6s","1.08s","3m 56.3s","9871","1.44 GB","-","✓","Jan 15, 02:47 AM"
